concepto,prefLabel,writtenRep
plats_a_la_carta_C1007,Plats a la carta. Arrossos,"arròs de conill a la cassola, Eintopf mit Reis und Kaninchen, rabbit stew rice, arroz de conejo a la cazuela, riz de lapin à la casserole, riso con coniglio in casseruola"
plats_a_la_carta_C1008,Plats a la carta. Arrossos,"arròs de conill amb múrgoles i cargols, Reis mit Kaninchen, Morcheln und Schnecken, rabbit rice with morels and snails, arroz de conejo con colmenillas y caracoles, riz au lapin, aux morilles et aux escargots, riso con coniglio, funghi e lumache"
plats_a_la_carta_C1009,Plats a la carta. Arrossos,"arròs de guatlla amb espàrrecs verds, Wachtelreis mit grünem Spargel, quail rice with green asparagus, arroz de codorniz con espárragos verdes, riz de caille aux asperges vertes, riso di quaglia con asparagi verdi"
plats_a_la_carta_C101,Plats a la carta. Entrants i amanides,"amanida d'alvocat i salmó fumat, Salat mit Avocado und Räucherlachs, avocado and smoked salmon salad, ensalada de aguacate y salmón ahumado, salade d'avocat et de saumon fumé, insalata d'avocado e salmone affumicato"
plats_a_la_carta_C1010,Plats a la carta. Arrossos,"arròs de la casa, Reis nach Art des Hauses, house rice, arroz de la casa, riz maison, riso della casa"
plats_a_la_carta_C1011,Plats a la carta. Arrossos,"arròs de llagosta, Reis mit Languste, lobster rice, arroz de langosta, riz au langouste, riso all'aragosta"
plats_a_la_carta_C1012,Plats a la carta. Arrossos,"arròs de llamàntol, Reis mit Hummer, lobster rice, arroz de bogavante, riz de homard, riso con l'astice"
plats_a_la_carta_C1013,Plats a la carta. Arrossos,"arròs de llamàntol i ceps, Reis mit Hummer und Steinpilzen, lobster and wild mushroom rice, arroz de bogavante y setas de Burdeos, riz de homard et de cèpes, riso d'astice e funghi porcini"
plats_a_la_carta_C1014,Plats a la carta. Arrossos,"arròs de llamàntol i verdures, Reis mit Hummer und Gemüse, rice with lobster and vegetables, arroz de bogavante y verduras, riz au homard et aux légumes, riso di astice e verdure"
plats_a_la_carta_C1015,Plats a la carta. Arrossos,"arròs de muntanya, Reis nach Gebirgsart, rice mountain style, arroz de montaña, riz à la montagnarde, riso di montagna"
plats_a_la_carta_C1016,Plats a la carta. Arrossos,"arròs de muntanya amb ànec mut i trompetes, Reis nach Gebirgsart mit Moschusente und Todestrompeten, rice mountain style with muscovy duck and horn of plenty mushrooms, arroz de montaña con pato mudo y trompetas, riz à la montagnarde au canard musqué et aux trompettes de la mort, riso di montagna con anatra muta e trombette dei morti"
plats_a_la_carta_C1017,Plats a la carta. Arrossos,"arròs de Pals a la cassola, Reistopf aus Pals, rice from Pals casserole, arroz de Pals a la cazuela, riz de Pals à la casserole, riso di Pals in casseruola"
plats_a_la_carta_C1018,Plats a la carta. Arrossos,"arròs de peix, Reis mit Fisch, fish rice, arroz de pescado, riz au poisson, riso di pesce"
plats_a_la_carta_C1019,Plats a la carta. Arrossos,"arròs de peix amb carxofes, Reis mit Fisch und Artischocken, fish rice with artichokes, arroz de pescado con alcachofas, riz au poisson et aux artichauts, riso con pesce e carciofi"
plats_a_la_carta_C102,Plats a la carta. Entrants i amanides,"amanida d'ànec, Entensalat, duck salad, ensalada de pato, salade au canard, insalata d'anatra"
plats_a_la_carta_C1020,Plats a la carta. Arrossos,"arròs de peix i marisc, Reis mit Fisch und Meeresfrüchten, fish and seafood rice, arroz de pescado y marisco, riz au poisson et aux fruits de mer, riso con pesce e frutti di mare"
plats_a_la_carta_C1021,Plats a la carta. Arrossos,"arròs del senyoret, Reis des Senyoret (Fisch- und Meeresfrüchtepaella ohne Gräten und Schalen), senyoret's rice (fish and seafood paella with all bones and shells removed), arroz del senyoret (paella de pescado y marisco pelado y sin espinas), riz du senyoret (paella de poisson et de fruits de mer sans arêtes ni coquilles), riso del senyoret (paella di pesce spinato e frutti di mare sgusciati)"
plats_a_la_carta_C1022,Plats a la carta. Arrossos,"arròs fregit, gebratener Reis, fried rice<b> </b>, arroz frito, riz frit, riso fritto"
plats_a_la_carta_C1023,Plats a la carta. Arrossos,"arròs fregit amb curri, gebratener Curryreis, fried rice with curry, arroz frito con curry, riz frit au curry, riso fritto con curry"
plats_a_la_carta_C1024,Plats a la carta. Arrossos,"arròs fregit especial, gebratener Spezialreis, special fried rice, arroz frito<b> </b>especial, riz frit spéciale, riso fritto speciale"
plats_a_la_carta_C1025,Plats a la carta. Arrossos,"arròs fregit tres delícies, gebratener Reis mit drei Leckerbissen, three delights fried rice, arroz frito tres delicias, riz frit trois délices, riso fritto alle tre delizie"
plats_a_la_carta_C1026,Plats a la carta. Arrossos,"arròs melós de capellà i coliflor amb allioli, cremiger Reis mit Zwergdorsch und Blumenkohl mit Allioli (Knoblauchmayonnaise), capelan and cauliflower creamy rice with allioli (garlic mayonnaise), arroz meloso de capellán y coliflor con alioli, riz<b> </b>crémeux<b> </b>de capelan et de chou-fleur à l'ailloli, riso cremoso di cappellano e cavolfiore con allioli (maionese all'aglio)"
plats_a_la_carta_C1027,Plats a la carta. Arrossos,"arròs melós de cuixeta d'ànec amb sajolida, cremiger Reis mit Entenkeule und Bohnenkraut, leg of duck creamy rice with winter savory, arroz meloso de muslito de pato con ajedrea, riz crémeux de cuisse de canard à la sarriette, riso cremoso con coscetta d'anatra e santoreggia"
plats_a_la_carta_C1028,Plats a la carta. Arrossos,"arròs melós de galera amb espardenyes, cremiger Reis mit Heuschreckenkrebsen und Seegurken, creamy rice with mantis shrimps and sea cucumbers, arroz meloso de galera con cohombros de mar, riz crémeux aux squilles et aux concombres de mer, riso all'onda di canocchie con cetrioli di mare"
plats_a_la_carta_C1029,Plats a la carta. Arrossos,"arròs melós de llagosta amb bolets, cremiger Reis mit Languste und Pilzen, lobster creamy rice with mushrooms, arroz meloso de langosta con setas, riz crémeux de langouste aux champignons, riso cremoso con aragosta e funghi"
plats_a_la_carta_C103,Plats a la carta. Entrants i amanides,"amanida d'ànec amb cítrics, Entensalat mit Zitrusfrüchten, duck salad with citrus fruits, ensalada de pato con cítricos, salade de canard aux citriques, insalata d'anatra agli agrumi"
plats_a_la_carta_C1030,Plats a la carta. Arrossos,"arròs negre, schwarzer Reis (in Tintenfischtinte gekochte Paella), black rice (kind of paella cooked in squid ink), arroz negro, riz noir (sorte de paella à l'encre de calmar), riso nero (tipo di paella al nero di calamaro)"
plats_a_la_carta_C1031,Plats a la carta. Arrossos,"arròs negre amb calamarsons, schwarzer Reis mit kleinen Tintenfischen (in Tintenfischtinte gekochte Paella), black rice with small squids (kind of paella cooked in squid ink), arroz negro con chipirones, riz noir aux encornets (sorte de paella à l'encre de calmar), riso nero con calamaretti (tipo di paella al nero di calamaro)"
plats_a_la_carta_C1032,Plats a la carta. Arrossos,"arròs negre amb cloïsses, schwarzer Reis mit Venusmuscheln (in Tintenfischtinte gekochte Paella), black rice with clams (kind of paella cooked in squid ink), arroz negro con almejas, riz noir aux palourdes (sorte de paella à l'encre de calmar), riso nero con le vongole (tipo di paella al nero di calamaro)"
plats_a_la_carta_C1033,Plats a la carta. Arrossos,"arròs negre amb flors de romaní, schwarzer Reis mit Rosmarinblüten (in Tintenfischtinte gekochte Paella), black rice with rosemary flowers (kind of paella cooked in squid ink), arroz negro con flores de romero, riz noir aux fleurs de romarin (sorte de paella à l'encre de calmar), riso nero ai fiori di rosmarino"
plats_a_la_carta_C1034,Plats a la carta. Arrossos,"arròs negre amb gambes, schwarzer Reis mit Garnelen (in Tintenfischtinte gekochte Paella), black rice with shrimps (kind of paella cooked in squid ink), arroz negro con gambas, riz noir aux crevettes roses (sorte de paella à l'encre de calmar), riso nero con i gamberi (una sorta di paella al nero di calamaro)"
plats_a_la_carta_C1035,Plats a la carta. Arrossos,"arròs negre amb llamàntol, schwarzer Reis mit Hummer (in Tintenfischtinte gekochte Paella), black rice with lobster (kind of paella cooked in squid ink), arroz negro con<b> </b>bogavante, riz noir au homard (sorte de paella à l'encre de<b> </b>calmar), riso nero con astice (tipo di paella al nero di calamaro)"
plats_a_la_carta_C1036,Plats a la carta. Arrossos,"arròs negre amb sípia, schwarzer Reis mit Tintenfisch (in Tintenfischtinte gekochte Paella), black rice with cuttlefish (kind of paella cooked in cuttlefish ink), arroz negro con sepia, riz noir et seiche (sorte de paella à l'encre de calmar), riso nero con seppia (tipo di paella al nero di calamaro)"
plats_a_la_carta_C1037,Plats a la carta. Arrossos,"arròs negre amb tires de sípia, schwarzer Reis mit Tintenfischstreifen (in Tintenfischtinte gekochte Paella), black rice with cuttlefish strips (kind of paella cooked in squid ink), arroz negro con tiras de sepia, riz noir aux bandes de seiche (sorte de paella à l'encre de calmar), riso nero con strisce di seppia (tipo di paella al nero di seppia)"
plats_a_la_carta_C1038,Plats a la carta. Arrossos,"arròs pilaf, Pilaw, pilaf, arroz pilaf, riz pilaf, riso pilaf"
plats_a_la_carta_C1039,Plats a la carta. Arrossos,"arròs saltat amb alls tendres, gambes i bolets, sautierter Reis mit jungem Knoblauch, Garnelen und Pilzen, sautéed rice with garlic shoots, shrimps and mushrooms, arroz salteado con ajos tiernos, gambas y setas, riz sauté<b> </b>à l'ail frais, aux crevettes roses et aux champignons, riso saltato con agli freschi, gamberi e funghi"
plats_a_la_carta_C104,Plats a la carta. Entrants i amanides,"amanida d'ànec amb cruixent de foie-gras i vinagreta de maracujà, Entensalat mit knusprigem Foie Gras und Maracujavinaigrette, duck salad with crunchy foie gras and passion fruit vinaigrette<b> </b>, ensalada de pato con crujiente de foie gras y vinagreta de maracuyá, salade de canard au foie gras croustillant et à la vinaigrette de maracuja, insalata d'anatra con croccante di foie gras e vinaigrette al maracuja"
plats_a_la_carta_C1040,Plats a la carta. Arrossos,"arròs saltat amb verdures i pollastre, sautierter Reis mit Gemüse und Hähnchen, sautéed rice with vegetables and chicken, arroz salteado con verduras y pollo, riz sauté aux légumes et au poulet, riso saltato con verdure e pollo"
plats_a_la_carta_C1041,Plats a la carta. Arrossos,"arròs salvatge amb bolets de temporada i cruixent de pernil, wilder Reis mit Pilzen der Saison und knusprigem Schinken, wild rice with wild mushrooms in season and crunchy cured ham, arroz salvaje con setas de temporada y crujiente de jamón, riz sauvage aux champignons de saison et au croustillant de jambon, riso selvaggio con funghi di stagione e croccante di prosciutto"
plats_a_la_carta_C1042,Plats a la carta. Arrossos,"arròs salvatge amb confit d'ànec, wilder Reis mit eingelegtem Entenfleisch, wild rice with duck confit, arroz salvaje con confit de pato, riz sauvage au confit de canard, riso selvaggio con anatra confit"
plats_a_la_carta_C1043,Plats a la carta. Entrants i amanides,"arròs tres delícies, Reis mit drei Leckerbissen, three delights rice, arroz tres delicias, riz trois délices, riso alle tre delizie"
plats_a_la_carta_C1044,Plats a la carta. Formatges,"asiago, Asiago, asiago, asiago, asiago, asiago"
plats_a_la_carta_C1045,Plats a la carta. Fruita,"aspic de fruita natural, Aspik mit frischen Früchten, natural fruit aspic, aspic de fruta natural, aspic de fruits naturels, aspic di frutta al naturale"
plats_a_la_carta_C1046,Plats a la carta. Entrants i amanides,"assortiment d'amanides, Auswahl an Salaten, assorted salads, surtido de ensaladas, assortiment de salades, assortimento d'insalate"
plats_a_la_carta_C1047,Plats a la carta. Entrants i amanides,"assortiment d'amanides del mar, Auswahl an Meeresfrüchtesalaten, assorted sea salads, surtido de ensaladas del mar, assortiment de salades de la mer, assortimento d'insalate di mare"
plats_a_la_carta_C1048,"Plats a la carta. Embotits, carns fredes i patés","assortiment d'embotits, Auswahl an Wurstwaren, assorted cold sausages, surtido de embutidos, assortiment de charcuterie, assortimento d'insaccati"
plats_a_la_carta_C1049,"Plats a la carta. Embotits, carns fredes i patés","assortiment d'embotits a pes, Auswahl an Wurstwaren nach Gewicht, assorted cold sausages by weight, surtido de embutidos a peso, assortiment de charcuterie au poids, insaccati assortiti a peso"
plats_a_la_carta_C105,Plats a la carta. Entrants i amanides,"amanida d'ànec confitat amb pinyons i panses, Salat mit eingelegtem Entenfleisch, Pinienkernen und Rosinen, pickled duck salad with pine nuts and raisins, ensalada de pato confitado con piñones y pasas, salade de canard confit aux pignons et aux raisins secs, insalata d'anatra confit con pinoli e uva passa"
plats_a_la_carta_C1050,"Plats a la carta. Embotits, carns fredes i patés","assortiment d'embotits casolans, Auswahl an hausgemachten Wurstwaren, assorted home-made cold sausages, surtido de embutidos caseros, assortiment de charcuterie maison, assortimento d'insaccati caserecci"
plats_a_la_carta_C1051,"Plats a la carta. Embotits, carns fredes i patés","assortiment d'embotits catalans, Auswahl an katalanischen Wurstwaren, assorted Catalan cold sausages, surtido de embutidos catalanes, assortiment de charcuterie catalane, assortimento d'insaccati catalani"
plats_a_la_carta_C1052,"Plats a la carta. Embotits, carns fredes i patés","assortiment d'embotits de pagès, Auswahl an Bauernwurstwaren, assorted peasant's cold sausages, surtido de embutidos de payés, assortiment de charcuterie<b> </b>du paysan, assortimento d'insaccati genuini"
plats_a_la_carta_C1053,Plats a la carta. Entrants i amanides,"assortiment d'embotits i formatges amb melmelada de tomàquet, Auswahl an Wurst- und Käsesorten mit Tomatenmarmelade, assorted cold sausages and cheeses with tomato jam, surtido de embutidos y quesos con mermelada de tomate, assortiment de charcuterie et de fromages à la confiture de tomate, assortimento d'insaccati e formaggi con marmellata di pomodoro"
plats_a_la_carta_C1054,"Plats a la carta. Embotits, carns fredes i patés","assortiment d'embotits ibèrics, Auswahl an iberischen Wurstwaren, assorted Iberian cold sausages, surtido de embutidos ibéricos, assortiment de charcuterie ibérique, assortimento d'insaccati iberici"
plats_a_la_carta_C1055,"Plats a la carta. Embotits, carns fredes i patés","assortiment d'embotits ibèrics amb pa torrat, Auswahl an iberischen Wurstwaren mit geröstetem Brot, assorted Iberian cold sausages with toasted bread, surtido de embutidos ibéricos con pan tostado, assortiment de charcuterie ibérique au pain grillé, assortimento d'insaccati iberici con pane tostato"
plats_a_la_carta_C1056,"Plats a la carta. Embotits, carns fredes i patés","assortiment d'embotits ibèrics de caça, Auswahl an iberischen Wurstwaren vom Wild, assorted game Iberian cold sausages, surtido de embutidos ibéricos de caza, assortiment de charcuterie ibérique de gibier, assortimento d'insaccati iberici di selvaggina"
plats_a_la_carta_C1057,"Plats a la carta. Embotits, carns fredes i patés","assortiment d'embotits ibèrics de gla, Auswahl an iberischen Wurstwaren vom Eichelschwein, assorted acorn-fed Iberian cold sausages, surtido de embutidos ibéricos de bellota, assortiment de charcuterie ibérique de gland, assortimento di insaccati iberici di ghianda"
plats_a_la_carta_C1058,"Plats a la carta. Embotits, carns fredes i patés","assortiment d'embotits ibèrics de la casa, Auswahl an hausgemachten iberischen Wurstwaren, house assorted Iberian cold sausages, surtido de embutidos ibéricos de la casa, assortiment de charcuterie ibérique maison, assortimento d'insaccati iberici della casa"
plats_a_la_carta_C1059,Plats a la carta. Entrants i amanides,"assortiment d'embotits ibèrics i formatge manxego, Auswahl an iberischen Wurstwaren und Manchegokäse, assorted Iberian cold sausages and Manchego cheese, surtido de embutidos ibéricos y queso manchego, assortiment de charcuterie ibérique et de fromage manchego, assortimento d'insaccati iberici e formaggio manchego"
plats_a_la_carta_C106,Plats a la carta. Entrants i amanides,"amanida d'anques de granota, Froschschenkelsalat, frog's legs salad, ensalada de ancas de rana, salade de cuisses de grenouille, insalata di cosce di rana"
plats_a_la_carta_C1060,Plats a la carta. Tapes,"assortiment d'embotits ibèrics i formatges, Auswahl an iberischen Wurstwaren und Käse, assorted Iberian cold sausages and cheeses, surtido de embutidos ibéricos y quesos, assortiment de charcuterie ibérique et de fromages, assortimento d'insaccati iberici e formaggi"
plats_a_la_carta_C1061,Plats a la carta. Entrants i amanides,"assortiment d'embotits ibèrics i formatges amb pa de pagès, Auswahl an iberischen Wurst- und Käsesorten mit Bauernbrot, assorted Iberian cold sausages and cheeses with peasant's bread, surtido de embutidos ibéricos y quesos con pan de payés, assortiment de charcuterie ibérique et de fromages au pain de campagne, assortimento d'insaccati iberici e formaggi con pane toscano"
plats_a_la_carta_C1062,Plats a la carta. Entrants i amanides,"assortiment d'embotits ibèrics i pa amb tomàquet, Auswahl an iberischen Wurstwaren und Tomatenbrot, assorted Iberian cold sausages and tomato bread, surtido de embutidos ibéricos y pan con tomate, assortiment de charcuterie ibérique et pain à la tomate, assortimento d'insaccati iberici e pane al pomodoro"
plats_a_la_carta_C1063,Plats a la carta. Tapes,"assortiment d'olives, Auswahl an Oliven, assorted olives, surtido de olivas, assortiment d'olives, assortimento di olive"
plats_a_la_carta_C1064,Plats a la carta. Tapes,"assortiment de barquetes, Auswahl an Häppchen, assorted amuse-gueules, surtido de montaditos, assortiment d'amuse-gueules, assortimento di stuzzichini"
plats_a_la_carta_C1065,Plats a la carta. Entrants i amanides,"assortiment de bolets amb botifarra esparracada, Auswahl an Pilzen mit Botifarra esparracada (aufgeplatzte große katalanische Bratwurst), assorted mushrooms with botifarra esparracada (ragged large Catalan pork sausage), surtido de setas con butifarra esparracada (butifarra rasgada), assortiment de champignons à la botifarra esparracada (longue saucisse de porc catalane déguenillée), assortimento di funghi con botifarra esparracada (grossa salsiccia di maiale catalana a straccetti)"
plats_a_la_carta_C1066,Plats a la carta. Entrants i amanides,"assortiment de bolets de temporada, Auswahl an Pilzen der Saison, assorted wild mushrooms in season, surtido de setas de temporada, assortiment de champignons de saison, assortimento di funghi di stagione"
plats_a_la_carta_C1067,Plats a la carta. Carn,"assortiment de botifarres a la brasa, Auswahl an Botifarres vom Rost (große katalanische Bratwurst), assorted charcoal-grilled botifarres (large Catalan pork sausages), surtido de butifarras a la brasa, assortiment de botifarres grillées sur la braise (longues saucisses de porc catalanes), assortimento di botifarres alla brace (grosse salsicce di maiale catalane)"
plats_a_la_carta_C1068,Plats a la carta. Carn,"assortiment de botifarres a la graella, Auswahl an Botifarras vom Grill (große katalanische Bratwurst), assorted grilled botifarres (large Catalan pork sausages), surtido de butifarras a la parrilla, assortiment de botifarres grillées (longues saucisses de porc catalanes), assortimento di botifarres alla griglia (grosse salsiccie di maiale catalane)"
plats_a_la_carta_C1069,"Plats a la carta. Embotits, carns fredes i patés","assortiment de botifarres a la planxa, Auswahl an Botifarras vom Blech (große katalanische Bratwurst), assorted grilled botifarres (large Catalan pork sausages), surtido de butifarras a la plancha, assortiment de botifarres grillées (longues saucisses de porc catalanes), assortimento di botifarres alla piastra (grosse salsicce di maiale catalane)"
plats_a_la_carta_C107,Plats a la carta. Entrants i amanides,"amanida d'anxoves, Anchovissalat, anchovies salad, ensalada de anchoas, salade aux anchois, insalata d'acciughe"
plats_a_la_carta_C1070,Plats a la carta. Entrants i amanides,"assortiment de canapès, Auswahl an Kanapees, assorted canapés, surtido de canapés, assortiment de canapés, assortimento di tartine"
plats_a_la_carta_C1071,Plats a la carta. Carn,"assortiment de carn de xai, Auswahl an Fleisch vom Lamm, assorted lamb, surtido de carne de cordero, assortiment de viandes d'agneau, assortimento di carne d'agnello"
plats_a_la_carta_C1072,Plats a la carta. Carn,"assortiment de carns, Auswahl an Fleisch, assorted meats, surtido de carnes, assortiment de viandes, assortimento di carni"
plats_a_la_carta_C1073,Plats a la carta. Carn,"assortiment de carns ibèriques a la llosa, Auswahl an iberischem Fleisch vom heißen Stein, assorted stone-grilled Iberian meat, surtido de carnes ibéricas a la losa, assortiment de viandes grillées sur la pierre, assortimento di carne iberica cotta su pietra"
plats_a_la_carta_C1074,Plats a la carta. Formatges,"assortiment de cinc formatges, Auswahl an fünf Käsesorten, assorted five cheeses, surtido de cinco quesos, assortiment de cinq fromages, assortimento di cinque formaggi"
plats_a_la_carta_C1075,Plats a la carta. Entrants i amanides,"assortiment de croquetes, Auswahl an Kroketten, assorted croquettes, surtido de croquetas, assortiment de croquettes, assortimento di crocchette"
plats_a_la_carta_C1076,Plats a la carta. Tapes,"assortiment de croquetes casolanes (pernil ibèric, brandada de bacallà, bolets i carn d'olla), Auswahl an hausgemachten Kroketten (iberischer Rohschinken, Stockfisch-Brandada, Pilze und gekochtes Fleisch, Gemüse und Hülsenfrüchte), assorted croquettes (Iberian cured ham, salt cod brandade, mushrooms and Catalan stew made of meat, vegetables and pulses), surtido de croquetas caseras variadas (jamón ibérico, brandada de bacalao, setas y cocido catalán), croquettes variées (jambon ibérique, brandade de morue, champignons et ragoût catalan de viande, légumes et légumes secs), assortimento di crocchette caserecce (prosciutto iberico, brandada di baccalà, funghi e lesso con verdura e legumi)"
plats_a_la_carta_C1077,Plats a la carta. Formatges,"assortiment de formatges, Auswahl an Käsesorten, assorted cheeses, surtido de quesos, assortiment de fromages, assortimento di formaggi"
plats_a_la_carta_C1078,Plats a la carta. Formatges,"assortiment de formatges amb fruita seca, Auswahl an Käsesorten mit Nüssen und Trockenfrüchten, assorted cheeses with dried fruits and nuts, surtido de quesos con frutos secos, assortiment de fromages aux fruits secs, assortimento di formaggi con frutti secchi"
plats_a_la_carta_C1079,Plats a la carta. Formatges,"assortiment de formatges artesans, Auswahl an handgemachten Käsesorten, assorted handmade cheeses, surtido de quesos artesanos, assortiment de fromages artisanals, assortimento di formaggi artigianali"
plats_a_la_carta_C108,Plats a la carta. Entrants i amanides,"amanida d'anxoves de l'Escala i tomàquet, Salat mit Anchovis aus L'Escala und Tomaten, anchovies from L'Escala and tomato salad, ensalada de anchoas de L'Escala y tomate, salade d'anchois de L'Escala et de tomate, insalata d'acciughe di L'Escala con pomodoro"
plats_a_la_carta_C1080,Plats a la carta. Entrants i amanides,"assortiment de formatges artesans amb pernil ibèric, Auswahl an hausgemachten Käsesorten mit iberischem Rohschinken, assorted handmade cheeses with Iberian cured ham, surtido de quesos artesanos con jamón ibérico, assortiment de fromages artisanales au jambon ibérique, assortimento di formaggi artigianali con prosciutto iberico"
plats_a_la_carta_C1081,Plats a la carta. Formatges,"assortiment de formatges artesans de la nostra terra, Auswahl an hausgemachten Käsesorten der Region, assorted hand-made country cheeses, surtido de quesos artesanos de nuestra tierra, assortiment de fromages artisanales du terroir, assortimento di formaggi artigiani della nostra terra"
plats_a_la_carta_C1082,Plats a la carta. Formatges,"assortiment de formatges catalans, Auswahl an katalanischen Käsesorten, assorted Catalan cheeses, surtido de quesos catalanes, assortiment de fromages catalans, assortimento di formaggi catalani"
plats_a_la_carta_C1083,Plats a la carta. Formatges,"assortiment de formatges catalans amb melmelades, Auswahl an katalanischen Käsesorten mit Marmeladen, assorted Catalan cheeses with jams, surtido de quesos catalanes con mermeladas, assortiment de fromages catalans aux confitures, assortimento di formaggi catalani con marmellate"
plats_a_la_carta_C1084,Plats a la carta. Formatges,"assortiment de formatges de cabra, Auswahl an Ziegenkäse, assorted goat cheeses, surtido de quesos de cabra, assortiment de fromages de chèvre, assortimento di formaggi di capra"
plats_a_la_carta_C1085,Plats a la carta. Formatges,"assortiment de formatges de cabra artesans, Auswahl an hausgemachtem Ziegenkäse, assorted handmade goat cheeses, surtido de quesos de cabra artesanos, assortiment de fromages de chèvre artisanals, assortimento formaggi di capra artigianali"
plats_a_la_carta_C1086,Plats a la carta. Postres,"assortiment de formatges del Montsec amb codonyat, Auswahl an Käsesorten aus El Montsec mit Quittenkäse, assorted cheeses from El Montsec with quince preserve, surtido de quesos de El Montsec con dulce de membrillo, assortiment de fromages de El Montsec au cotignac, formaggi assortiti di El Montsec con cotognata"
plats_a_la_carta_C1087,Plats a la carta. Formatges,"assortiment de formatges del país, Auswahl an Landkäsesorten, assorted local cheeses, surtido de quesos del país, assortiment de fromages du pays, assortimento di formaggi del paese"
plats_a_la_carta_C1088,Plats a la carta. Formatges,"assortiment de formatges i pa amb tomàquet, Auswahl an Käsesorten mit Tomatenbrot, assorted cheeses and tomato bread, surtido de quesos y pan con tomate, assortiment de fromages et pain à la tomate, assortimento di formaggi e pane al pomodoro"
plats_a_la_carta_C1089,Plats a la carta. Entrants i amanides,"assortiment de formatges i patés, Auswahl an Käsesorten und Pasteten, assorted cheeses and pâtés, surtido de quesos y patés, assortiment de fromages et de pâtés, assortimento di formaggi e pâté"
plats_a_la_carta_C109,Plats a la carta. Entrants i amanides,"amanida d'api, Selleriesalat, celery salad, ensalada de apio, salade de céleri, insalata di sedano"
plats_a_la_carta_C1090,Plats a la carta. Entrants i amanides,"assortiment de formatges i patés amb torradetes, Auswahl an Käse und Pasteten mit Minitoasts, assorted cheeses and pâtés with mini toasts, surtido de quesos y patés con tostaditas, assortiment de fromages et de patés aux mini toasts, assortimento di formaggi e pâtés con crostini"
plats_a_la_carta_C1091,Plats a la carta. Entrants i amanides,"assortiment de formatges i productes curats amb pa amb tomàquet, Auswahl an Käse und Feinkost mit Tomatenbrot, assorted cheeses and cured products with tomato bread, surtido de quesos y productos curados con pan con tomate, assortiment de fromages et de produits affinés au pain à la tomate, assortimento di formaggi e prodotti stagionati con pane al pomodoro"
plats_a_la_carta_C1092,Plats a la carta. Formatges,"assortiment de formatges manxegos, Auswahl an Manchegokäse, assorted Manchego cheeses, surtido de quesos manchegos, assortiment de fromages manchegos, assortimento di formaggi di La Mancha"
plats_a_la_carta_C1093,Plats a la carta. Gelats i sorbets,"assortiment de gelats, Auswahl an Eissorten, assorted ice creams, surtido de helados, assortiment de glaces, assortimento di gelati"
plats_a_la_carta_C1094,Plats a la carta. Postres,"assortiment de gelats i sorbets, Auswahl an Eis und Sorbets, assorted ice creams and sorbets, surtido de helados y sorbetes, assortiment de glaces et de sorbets, assortimento di gelati e sorbetti"
